replicateid,zone,population,access,beta,eir,pfpr2to10
14263,1,4973,0.533,0.00,0.0,0.0
14264,1,4973,0.533,0.05,2.5184775,12.6752408333333
14271,1,4973,0.533,0.10,6.68796,21.1343666666667
14269,1,4973,0.533,0.15,10.9480666666667,28.4019083333333
14278,1,4973,0.533,0.20,17.0074416666667,32.6735833333333
14279,1,4973,0.533,0.25,20.050675,37.2962416666667
14265,1,4973,0.533,0.30,23.43665,37.4934166666667
14266,1,4973,0.533,0.35,29.127725,41.4799083333333
14267,1,4973,0.533,0.40,31.525725,44.3739333333333
14274,1,4973,0.533,0.55,48.0306166666667,47.64025
14268,1,4973,0.533,0.45,37.7781583333333,48.6774
14270,1,4973,0.533,0.60,50.4270666666667,49.67835
14275,1,4973,0.533,0.50,44.544775,50.9518166666667
14273,1,4973,0.533,0.65,60.0597416666667,52.843625
14276,1,4973,0.533,0.85,77.3153,52.9229916666667
14282,1,4973,0.533,0.70,58.5355166666667,53.8736083333333
14272,1,4973,0.533,0.80,76.1661083333333,55.2378416666667
14281,1,4973,0.533,0.75,67.5540416666667,57.558175
14280,1,4973,0.533,0.95,90.58145,58.1917333333333
14284,1,4973,0.533,1.10,107.5875,61.1912416666667
14287,1,4973,0.533,1.00,100.692916666667,61.4297916666667
14292,1,4973,0.533,1.35,146.386583333333,62.1837583333333
16690,1,4973,0.533,1.20,126.768333333333,62.4759583333333
14277,1,4973,0.533,0.90,100.171083333333,63.02945
14283,1,4973,0.533,1.05,115.09825,63.1302416666667
14288,1,4973,0.533,1.30,130.691833333333,63.7941833333333
14294,1,4973,0.533,1.45,153.179916666667,63.9687416666667
14286,1,4973,0.533,1.15,111.911916666667,64.0879666666667
14293,1,4973,0.533,1.50,152.497083333333,64.235825
14291,1,4973,0.533,1.40,148.50925,64.318825
14289,1,4973,0.533,1.25,128.443,64.383325
14285,1,4973,0.533,1.20,121.1705,65.0476416666667
14297,1,4973,0.533,1.65,186.809166666667,67.3905583333333
14290,1,4973,0.533,1.55,184.76475,69.58375
14298,1,4973,0.533,1.70,189.018083333333,70.41845
14296,1,4973,0.533,1.60,192.470333333333,72.530175
14295,1,4973,0.533,1.75,224.511833333333,72.6042
16171,1,4973,0.616,0.012,0.0,0.0
14299,1,4973,0.616,0.00,0.0,0.0
15885,1,4973,0.616,0.01,0.0,0.0
16167,1,4973,0.616,0.011,0.0,0.0
16168,1,4973,0.616,0.01,0.0,0.0
16169,1,4973,0.616,0.015,0.0,0.0
16170,1,4973,0.616,0.017,0.0,0.0
16172,1,4973,0.616,0.014,0.0,0.0
16173,1,4973,0.616,0.013,0.0,0.0
16174,1,4973,0.616,0.022,0.0,0.0
16185,1,4973,0.616,0.019,0.0188405583333333,0.0
16176,1,4973,0.616,0.016,0.1360925,0.76929625
16178,1,4973,0.616,0.023,0.5140545,1.26900141666667
16186,1,4973,0.616,0.021,0.4777725,2.1430775
15887,1,4973,0.616,0.02,0.297294,2.47215833333333
16187,1,4973,0.616,0.027,0.80553425,2.91279716666667
16188,1,4973,0.616,0.028,0.528825583333333,3.09474083333333
16179,1,4973,0.616,0.018,0.284512083333333,3.23327525
15888,1,4973,0.616,0.03,0.940906833333333,5.34600083333333
16175,1,4973,0.616,0.024,0.79451775,5.39946583333333
16181,1,4973,0.616,0.026,0.83192725,5.63018583333333
16177,1,4973,0.616,0.025,0.938863666666667,5.69223166666667
16180,1,4973,0.616,0.029,1.09907,6.3916325
15883,1,4973,0.616,0.04,1.58482333333333,6.75501416666667
16190,1,4973,0.616,0.057,2.74037583333333,9.21022666666667
16194,1,4973,0.616,0.052,2.47088,9.6281675
16198,1,4973,0.616,0.053,2.58856833333333,10.2330708333333
16184,1,4973,0.616,0.051,2.62970166666667,10.3549775
16189,1,4973,0.616,0.056,2.54379,11.4851758333333
16182,1,4973,0.616,0.055,3.121155,11.6112941666667
16183,1,4973,0.616,0.059,2.97673083333333,11.6508908333333
16199,1,4973,0.616,0.054,2.31952833333333,12.2243708333333
16200,1,4973,0.616,0.063,3.105365,12.4325283333333
16204,1,4973,0.616,0.066,3.7425125,12.7491966666667
15884,1,4973,0.616,0.06,3.29015916666667,12.8552991666667
16192,1,4973,0.616,0.061,2.9529975,13.1249033333333
16191,1,4973,0.616,0.058,3.53604916666667,13.4131158333333
16203,1,4973,0.616,0.064,3.71939166666667,13.5925766666667
16201,1,4973,0.616,0.068,3.91420666666667,14.1516241666667
14300,1,4973,0.616,0.05,2.57240416666667,14.5080041666667
16202,1,4973,0.616,0.069,3.5140125,14.6095041666667
15894,1,4973,0.616,0.07,4.06343083333333,15.0512333333333
16197,1,4973,0.616,0.062,3.38707416666667,15.2165416666667
16196,1,4973,0.616,0.067,3.38755,15.5565133333333
16205,1,4973,0.616,0.065,4.06727666666667,16.1806983333333
15913,1,4973,0.616,0.08,5.45195,19.59259
15915,1,4973,0.616,0.09,5.4360175,19.7302416666667
14301,1,4973,0.616,0.10,7.3020625,21.0748433333333
15889,1,4973,0.616,0.12,6.32228916666667,21.5610666666667
14303,1,4973,0.616,0.15,8.58672333333333,22.962225
15917,1,4973,0.616,0.11,6.72679083333333,22.9643416666667
15890,1,4973,0.616,0.13,7.638015,23.918525
