Study,Three Years,,,,,Five Years,,,,,Ten Years,,,,,
,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,Clinical Cases,Treatments,Treatment Failures,Treatment Failures,561H Frequency,
rwa-ae-al-3-1-1,191824 (189198 - 193928),120678 (118950 - 121705),13026 (11297 - 14743),10.81 (9.56 - 12.11),0.61 (0.49 - 0.71),204222 (202062 - 205378),128380 (127109 - 129224),17577 (15776 - 19686),13.68 (12.32 - 15.35),0.77 (0.67 - 0.83),232442 (231091 - 234298),146166 (145334 - 147419),30441 (27962 - 32462),20.83 (19.22 - 22.00),0.97 (0.94 - 0.98),
rwa-ae-al-3-1-2,187445 (185096 - 189692),117874 (116284 - 119270),9959 (8018 - 11502),8.42 (6.86 - 9.63),0.59 (0.43 - 0.67),199432 (197264 - 201829),125505 (124148 - 126918),12904 (10885 - 14673),10.27 (8.83 - 11.62),0.73 (0.58 - 0.80),227873 (226145 - 229492),143334 (142164 - 144385),22623 (20880 - 24141),15.82 (14.64 - 16.80),0.94 (0.89 - 0.97),
rwa-ae-al-3-2-1,190967 (188617 - 192810),120081 (118533 - 121304),13006 (11090 - 15004),10.81 (9.36 - 12.31),0.64 (0.53 - 0.72),202537 (200639 - 205133),127358 (126211 - 129054),17204 (15172 - 19394),13.45 (12.04 - 15.06),0.78 (0.68 - 0.85),231111 (229747 - 232752),145388 (144413 - 146394),29335 (27406 - 31794),20.23 (19.03 - 21.65),0.97 (0.94 - 0.98),
rwa-ae-al-3-2-2,186993 (184590 - 189332),117617 (115934 - 119058),9554 (8014 - 11091),8.13 (6.94 - 9.30),0.57 (0.46 - 0.68),199208 (196252 - 201467),125168 (123404 - 126754),12567 (10637 - 14524),10.05 (8.62 - 11.48),0.72 (0.61 - 0.81),226736 (224892 - 228985),142669 (141503 - 143907),21834 (19431 - 24497),15.39 (13.76 - 17.01),0.94 (0.90 - 0.97),
rwa-ae-al-3-4-3,183871 (181511 - 186017),115483 (114057 - 116923),7134 (6140 - 8242),6.19 (5.37 - 7.01),0.57 (0.46 - 0.67),195667 (193682 - 197528),123044 (121671 - 124178),9495 (8040 - 10487),7.71 (6.62 - 8.50),0.70 (0.60 - 0.79),223438 (221627 - 224723),140530 (139290 - 141265),16275 (14686 - 17958),11.64 (10.61 - 12.68),0.92 (0.88 - 0.96),
rwa-ae-al-4,192269 (190283 - 193606),120860 (119673 - 121815),12981 (11362 - 14969),10.78 (9.53 - 12.30),0.61 (0.51 - 0.73),203538 (201479 - 205752),128034 (126723 - 129380),17108 (15241 - 19311),13.34 (12.12 - 14.90),0.76 (0.67 - 0.85),232088 (231017 - 233695),146024 (145244 - 146905),30096 (27798 - 31444),20.54 (19.11 - 21.55),0.96 (0.94 - 0.98),
rwa-ae-al-5,188031 (185171 - 190192),118182 (116454 - 119579),9956 (8056 - 11219),8.43 (6.93 - 9.40),0.55 (0.42 - 0.66),200094 (197294 - 202074),125798 (124066 - 126985),13089 (10466 - 14739),10.38 (8.48 - 11.56),0.69 (0.57 - 0.78),228331 (225524 - 230322),143606 (141919 - 144721),23444 (20352 - 25055),16.19 (14.23 - 17.33),0.94 (0.88 - 0.96),
rwa-al-3-high,195697 (192732 - 198402),123184 (121038 - 124736),18769 (15623 - 20905),15.31 (12.84 - 16.83),0.67 (0.52 - 0.74),207508 (204529 - 208957),130512 (128567 - 131537),24602 (21729 - 27286),18.93 (16.81 - 20.94),0.83 (0.70 - 0.87),235334 (233918 - 236772),148020 (147262 - 148930),41124 (39208 - 42739),27.71 (26.51 - 28.92),0.98 (0.97 - 0.99),
rwa-al-3-low,196212 (193637 - 198442),123378 (121817 - 124707),19464 (17345 - 22824),15.78 (14.20 - 18.24),0.66 (0.54 - 0.74),207624 (205279 - 209693),130571 (129207 - 131837),25928 (23552 - 29855),19.85 (18.11 - 22.56),0.82 (0.73 - 0.88),235477 (234085 - 236307),148055 (147206 - 148695),42802 (40277 - 45997),28.90 (27.41 - 30.85),0.98 (0.97 - 0.99),
rwa-al-3-moderate,195353 (193151 - 197102),122873 (121539 - 124079),18896 (16527 - 21632),15.28 (13.63 - 17.37),0.63 (0.49 - 0.73),207187 (204952 - 209523),130303 (129016 - 131743),24997 (22484 - 27399),19.23 (17.33 - 21.11),0.80 (0.69 - 0.87),234733 (233442 - 236633),147676 (146770 - 148781),42022 (40297 - 43217),28.45 (26.99 - 29.24),0.98 (0.97 - 0.99),
